1) -ð- - -θ- - -tθ-/-tθ-/AJ.Aom(เเนน)/eight.m4a.wav,eight
3) -dʒ- - -tʃ-/-tʃ-/ไอริณ (กล้วย)/Etching.m4a.wav,etching
3) -dʒ- - -tʃ-/-tʃ-/ไอริณ (กล้วย)/Larch.m4a.wav,larch
3) -dʒ- - -tʃ-/-tʃ-/ไอริณ (กล้วย)/Purchase.m4a.wav,purchase
3) -dʒ- - -tʃ-/-tʃ-/ไอริณ (กล้วย)/Starch.m4a.wav,starch
4) -z-  - -s-/-s-/AJ.Aom(เเนน)/Decease.m4a.wav,decease
4) -z-  - -s-/-s-/AJ.Aom(เเนน)/Overseas.m4a.wav,overseas
4) -z-  - -s-/-s-/AJ.Aom(เเนน)/Practice.m4a.wav,practice
4) -z-  - -s-/-s-/AJ.Aom(เเนน)/process.m4a.wav,process
4) -z-  - -s-/-s-/AJ.Aom(เเนน)/Securely.m4a.wav,securely
4) -z-  - -s-/-s-/AJ.Aom(เเนน)/successor.m4a.wav,successor
4) -z-  - -s-/-s-/AJ.Nine(Ben)/decease.m4a.wav,decease
4) -z-  - -s-/-s-/AJ.Nine(Ben)/overseas.m4a.wav,overseas
4) -z-  - -s-/-s-/AJ.Nine(Ben)/practice.m4a.wav,practice
4) -z-  - -s-/-s-/AJ.Nine(Ben)/process.m4a.wav,process
4) -z-  - -s-/-s-/AJ.Nine(Ben)/securely.m4a.wav,securely
4) -z-  - -s-/-s-/AJ.Nine(Ben)/successor.m4a.wav,successor
4) -z-  - -s-/-s-/AJ.Pang (โบว์)/Decease.m4a.wav,decease
4) -z-  - -s-/-s-/AJ.Pang (โบว์)/Overseas.m4a.wav,overseas
4) -z-  - -s-/-s-/AJ.Pang (โบว์)/Practice.m4a.wav,practice
4) -z-  - -s-/-s-/AJ.Pang (โบว์)/Process.m4a.wav,process
4) -z-  - -s-/-s-/AJ.Pang (โบว์)/Securely.m4a.wav,securely
4) -z-  - -s-/-s-/AJ.Pang (โบว์)/Successor.m4a.wav,successor
4) -z-  - -s-/-s-/AJ.Perry (kanplu)/decease.aac.wav,decease
4) -z-  - -s-/-s-/AJ.Perry (kanplu)/overseas.aac.wav,overseas
4) -z-  - -s-/-s-/AJ.Perry (kanplu)/practice.aac.wav,practice
4) -z-  - -s-/-s-/AJ.Perry (kanplu)/process.aac.wav,process
4) -z-  - -s-/-s-/AJ.Perry (kanplu)/securely.aac.wav,securely
4) -z-  - -s-/-s-/AJ.Perry (kanplu)/successor.aac.wav,successor
4) -z-  - -s-/-s-/AJ.Ying/decease.mp3.wav,decease
4) -z-  - -s-/-s-/AJ.Ying/overseas.mp3.wav,overseas
4) -z-  - -s-/-s-/AJ.Ying/practice.mp3.wav,practice
4) -z-  - -s-/-s-/AJ.Ying/process.mp3.wav,process
4) -z-  - -s-/-s-/AJ.Ying/successor.mp3.wav,successor
4) -z-  - -s-/-s-/Daniel (เเนน)/Decease.m4a.wav,decease
4) -z-  - -s-/-s-/Daniel (เเนน)/Overseas.m4a.wav,overseas
4) -z-  - -s-/-s-/Daniel (เเนน)/Practice.m4a.wav,practice
4) -z-  - -s-/-s-/Daniel (เเนน)/Process.m4a.wav,process
4) -z-  - -s-/-s-/Daniel (เเนน)/Securely.m4a.wav,securely
4) -z-  - -s-/-s-/Daniel (เเนน)/Successor.m4a.wav,successor
4) -z-  - -s-/-s-/N_Aung/Decease.m4a.wav,decease
4) -z-  - -s-/-s-/N_Aung/Overseas.m4a.wav,overseas
4) -z-  - -s-/-s-/N_Aung/Practice.m4a.wav,practice
4) -z-  - -s-/-s-/N_Aung/Process.m4a.wav,process
4) -z-  - -s-/-s-/N_Aung/Securely.m4a.wav,securely
4) -z-  - -s-/-s-/N_Aung/Successor.m4a.wav,successor
4) -z-  - -s-/-s-/N_Guy (Ping)/Decease.m4a.wav,decease
4) -z-  - -s-/-s-/N_Guy (Ping)/Overseas.m4a.wav,overseas
4) -z-  - -s-/-s-/N_Guy (Ping)/Practice.m4a.wav,practice
4) -z-  - -s-/-s-/N_Guy (Ping)/Process.m4a.wav,process
4) -z-  - -s-/-s-/N_Guy (Ping)/Securely.m4a.wav,securely
4) -z-  - -s-/-s-/N_Guy (Ping)/Successors.m4a.wav,successors
4) -z-  - -s-/-s-/N_Maprang/decrease.m4a.wav,decrease
4) -z-  - -s-/-s-/N_Maprang/overseas.m4a.wav,overseas
4) -z-  - -s-/-s-/N_Maprang/practice.m4a.wav,practice
4) -z-  - -s-/-s-/N_Maprang/process.m4a.wav,process
4) -z-  - -s-/-s-/N_Maprang/securely.m4a.wav,securely
4) -z-  - -s-/-s-/N_Maprang/successor.m4a.wav,successor
4) -z-  - -s-/-s-/N_Stamp (Ping)/Decease.m4a.wav,decease
4) -z-  - -s-/-s-/N_Stamp (Ping)/Overseas.m4a.wav,overseas
4) -z-  - -s-/-s-/N_Stamp (Ping)/Practice.m4a.wav,practice
4) -z-  - -s-/-s-/N_Stamp (Ping)/Process.m4a.wav,process
4) -z-  - -s-/-s-/N_Stamp (Ping)/Securely.m4a.wav,securely
4) -z-  - -s-/-s-/N_Stamp (Ping)/Successor.m4a.wav,successor
4) -z-  - -s-/-s-/P_C/Khok Pho 10 2 2.m4a.wav,khok pho 10 2 2
4) -z-  - -s-/-s-/P_C/Khok Pho 10 2 3.m4a.wav,khok pho 10 2 3
4) -z-  - -s-/-s-/P_C/Khok Pho 10 2 4.m4a.wav,khok pho 10 2 4
4) -z-  - -s-/-s-/P_C/Khok Pho 10 2 5.m4a.wav,khok pho 10 2 5
4) -z-  - -s-/-s-/P_C/Khok Pho 10 2 6.m4a.wav,khok pho 10 2 6
4) -z-  - -s-/-s-/P_C/Khok Pho 10 2.m4a.wav,khok pho 10 2
4) -z-  - -s-/-s-/P_Meen(สมาย)/Decease.m4a.wav,decease
4) -z-  - -s-/-s-/P_Meen(สมาย)/Overseas.m4a.wav,overseas
4) -z-  - -s-/-s-/P_Meen(สมาย)/Practice.m4a.wav,practice
4) -z-  - -s-/-s-/P_Meen(สมาย)/Process.m4a.wav,process
4) -z-  - -s-/-s-/P_Meen(สมาย)/Securely.m4a.wav,securely
4) -z-  - -s-/-s-/P_Meen(สมาย)/Successor.m4a.wav,successor
4) -z-  - -s-/-s-/P_Numaun(smile)/decease.mp3.wav,decease
4) -z-  - -s-/-s-/P_Numaun(smile)/overseas.mp3.wav,overseas
4) -z-  - -s-/-s-/P_Numaun(smile)/practice.mp3.wav,practice
4) -z-  - -s-/-s-/P_Numaun(smile)/process.mp3.wav,process
4) -z-  - -s-/-s-/P_Numaun(smile)/securely.mp3.wav,securely
4) -z-  - -s-/-s-/P_Numaun(smile)/successor.mp3.wav,successor
4) -z-  - -s-/-s-/P’Manow (Ben)/decease.m4a.wav,decease
4) -z-  - -s-/-s-/P’Manow (Ben)/overseas.m4a.wav,overseas
4) -z-  - -s-/-s-/P’Manow (Ben)/practice.m4a.wav,practice
4) -z-  - -s-/-s-/P’Manow (Ben)/process.m4a.wav,process
4) -z-  - -s-/-s-/P’Manow (Ben)/securely.m4a.wav,securely
4) -z-  - -s-/-s-/P’Manow (Ben)/successor.m4a.wav,successor
4) -z-  - -s-/-s-/P’Pop(เเนน)/Decease.m4a.wav,decease
4) -z-  - -s-/-s-/P’Pop(เเนน)/Overseas.m4a.wav,overseas
4) -z-  - -s-/-s-/P’Pop(เเนน)/Practice.m4a.wav,practice
4) -z-  - -s-/-s-/P’Pop(เเนน)/Process.m4a.wav,process
4) -z-  - -s-/-s-/P’Pop(เเนน)/Securely.m4a.wav,securely
4) -z-  - -s-/-s-/P’Pop(เเนน)/Successor.m4a.wav,successor
4) -z-  - -s-/-s-/ไอริณ (กล้วย)/Decease.m4a.wav,decease
4) -z-  - -s-/-s-/ไอริณ (กล้วย)/Overseas.m4a.wav,overseas
4) -z-  - -s-/-s-/ไอริณ (กล้วย)/Practice.m4a.wav,practice
4) -z-  - -s-/-s-/ไอริณ (กล้วย)/Process.m4a.wav,process
4) -z-  - -s-/-s-/ไอริณ (กล้วย)/Securely.m4a.wav,securely
4) -z-  - -s-/-s-/ไอริณ (กล้วย)/Successor.m4a.wav,successor
4) -z-  - -s-/-z-/AJ,Ying/criticize (1).mp3.wav,criticize (1)
4) -z-  - -s-/-z-/AJ,Ying/emphasize (1).mp3.wav,emphasize (1)
4) -z-  - -s-/-z-/AJ,Ying/enzyme.mp3.wav,enzyme
4) -z-  - -s-/-z-/AJ,Ying/equalizer.mp3.wav,equalizer
4) -z-  - -s-/-z-/AJ,Ying/zealous.mp3.wav,zealous
4) -z-  - -s-/-z-/AJ,Ying/zipper.mp3.wav,zipper
4) -z-  - -s-/-z-/AJ.Aom(เเนน)/Criticize.m4a.wav,criticize
4) -z-  - -s-/-z-/AJ.Aom(เเนน)/emphasize.m4a.wav,emphasize
4) -z-  - -s-/-z-/AJ.Aom(เเนน)/Enzyme.m4a.wav,enzyme
4) -z-  - -s-/-z-/AJ.Aom(เเนน)/Equalizer.m4a.wav,equalizer
4) -z-  - -s-/-z-/AJ.Aom(เเนน)/Zealous.m4a.wav,zealous
4) -z-  - -s-/-z-/AJ.Aom(เเนน)/zipper.m4a.wav,zipper
4) -z-  - -s-/-z-/AJ.Nine (Ben)/criticize.m4a.wav,criticize
4) -z-  - -s-/-z-/AJ.Nine (Ben)/emphasize.m4a.wav,emphasize
4) -z-  - -s-/-z-/AJ.Nine (Ben)/enzyme.m4a.wav,enzyme
4) -z-  - -s-/-z-/AJ.Nine (Ben)/equalizer.m4a.wav,equalizer
4) -z-  - -s-/-z-/AJ.Nine (Ben)/zealous.m4a.wav,zealous
4) -z-  - -s-/-z-/AJ.Nine (Ben)/zipper.m4a.wav,zipper
4) -z-  - -s-/-z-/AJ.Pang (โบว์)/Criticize.m4a.wav,criticize
4) -z-  - -s-/-z-/AJ.Pang (โบว์)/Emphasize.m4a.wav,emphasize
4) -z-  - -s-/-z-/AJ.Pang (โบว์)/Enzyme.m4a.wav,enzyme
4) -z-  - -s-/-z-/AJ.Pang (โบว์)/Equalizer.m4a.wav,equalizer
4) -z-  - -s-/-z-/AJ.Pang (โบว์)/Zeolous.m4a.wav,zeolous
4) -z-  - -s-/-z-/AJ.Pang (โบว์)/Zipper.m4a.wav,zipper
4) -z-  - -s-/-z-/AJ.Perry (kanplu)/criticize.aac.wav,criticize
4) -z-  - -s-/-z-/AJ.Perry (kanplu)/emphasize.aac.wav,emphasize
4) -z-  - -s-/-z-/AJ.Perry (kanplu)/enzyme.aac.wav,enzyme
4) -z-  - -s-/-z-/AJ.Perry (kanplu)/equalizer.aac.wav,equalizer
4) -z-  - -s-/-z-/AJ.Perry (kanplu)/zealous.aac.wav,zealous
4) -z-  - -s-/-z-/AJ.Perry (kanplu)/zipper.aac.wav,zipper
4) -z-  - -s-/-z-/Daniel (เเนน)/Criticize.m4a.wav,criticize
4) -z-  - -s-/-z-/Daniel (เเนน)/Emphasize.m4a.wav,emphasize
4) -z-  - -s-/-z-/Daniel (เเนน)/Enzyme.m4a.wav,enzyme
4) -z-  - -s-/-z-/Daniel (เเนน)/Equalizer.m4a.wav,equalizer
4) -z-  - -s-/-z-/Daniel (เเนน)/Zealous.m4a.wav,zealous
4) -z-  - -s-/-z-/Daniel (เเนน)/Zipper.m4a.wav,zipper
4) -z-  - -s-/-z-/N_Aung/Criticize.m4a.wav,criticize
4) -z-  - -s-/-z-/N_Aung/Emphasize.m4a.wav,emphasize
4) -z-  - -s-/-z-/N_Aung/Enzyme.m4a.wav,enzyme
4) -z-  - -s-/-z-/N_Aung/Equalizer.m4a.wav,equalizer
4) -z-  - -s-/-z-/N_Aung/Zipper.m4a.wav,zipper
4) -z-  - -s-/-z-/N_Guy (Ping)/Criticize.m4a.wav,criticize
4) -z-  - -s-/-z-/N_Guy (Ping)/Emphasize.m4a.wav,emphasize
4) -z-  - -s-/-z-/N_Guy (Ping)/Enzyme.m4a.wav,enzyme
4) -z-  - -s-/-z-/N_Guy (Ping)/Equalizer.m4a.wav,equalizer
4) -z-  - -s-/-z-/N_Guy (Ping)/Zealous.m4a.wav,zealous
4) -z-  - -s-/-z-/N_Guy (Ping)/Zipper.m4a.wav,zipper
4) -z-  - -s-/-z-/N_Maprang/criticize.m4a.wav,criticize
4) -z-  - -s-/-z-/N_Maprang/emphasize.m4a.wav,emphasize
4) -z-  - -s-/-z-/N_Maprang/enzyme.m4a.wav,enzyme
4) -z-  - -s-/-z-/N_Maprang/equalizer.m4a.wav,equalizer
4) -z-  - -s-/-z-/N_Maprang/zealous.m4a.wav,zealous
4) -z-  - -s-/-z-/N_Maprang/zipper.m4a.wav,zipper
4) -z-  - -s-/-z-/N_Stamp (Ping)/Criticize.m4a.wav,criticize
4) -z-  - -s-/-z-/N_Stamp (Ping)/Emphasize.m4a.wav,emphasize
4) -z-  - -s-/-z-/N_Stamp (Ping)/Enzyme.m4a.wav,enzyme
4) -z-  - -s-/-z-/N_Stamp (Ping)/Equalizer.m4a.wav,equalizer
4) -z-  - -s-/-z-/N_Stamp (Ping)/Zealous.m4a.wav,zealous
4) -z-  - -s-/-z-/N_Stamp (Ping)/Zipper.m4a.wav,zipper
4) -z-  - -s-/-z-/P_C/Khok Pho 9 2.m4a.wav,khok pho 9 2
4) -z-  - -s-/-z-/P_C/Khok Pho 9 3.m4a.wav,khok pho 9 3
4) -z-  - -s-/-z-/P_C/Khok Pho 9 4.m4a.wav,khok pho 9 4
4) -z-  - -s-/-z-/P_C/Khok Pho 9 5.m4a.wav,khok pho 9 5
4) -z-  - -s-/-z-/P_C/Khok Pho 9 6.m4a.wav,khok pho 9 6
4) -z-  - -s-/-z-/P_C/Khok Pho 9.m4a.wav,khok pho 9
4) -z-  - -s-/-z-/P_Meen(สมาย)/Criticize.m4a.wav,criticize
4) -z-  - -s-/-z-/P_Meen(สมาย)/Emphasize.m4a.wav,emphasize
4) -z-  - -s-/-z-/P_Meen(สมาย)/Enzyme.m4a.wav,enzyme
4) -z-  - -s-/-z-/P_Meen(สมาย)/Equalizer.m4a.wav,equalizer
4) -z-  - -s-/-z-/P_Meen(สมาย)/Zealous.m4a.wav,zealous
4) -z-  - -s-/-z-/P_Meen(สมาย)/Zipper.m4a.wav,zipper
4) -z-  - -s-/-z-/P_Numaun(smile)/criticize.mp3.wav,criticize
4) -z-  - -s-/-z-/P_Numaun(smile)/emphasize.mp3.wav,emphasize
4) -z-  - -s-/-z-/P_Numaun(smile)/enzyme.mp3.wav,enzyme
4) -z-  - -s-/-z-/P_Numaun(smile)/equalizer.mp3.wav,equalizer
4) -z-  - -s-/-z-/P_Numaun(smile)/zealous.mp3.wav,zealous
4) -z-  - -s-/-z-/P_Numaun(smile)/zipper.mp3.wav,zipper
4) -z-  - -s-/-z-/P’Manow (Ben)/criticize.m4a.wav,criticize
4) -z-  - -s-/-z-/P’Manow (Ben)/emphasize.m4a.wav,emphasize
4) -z-  - -s-/-z-/P’Manow (Ben)/enzyme.m4a.wav,enzyme
4) -z-  - -s-/-z-/P’Manow (Ben)/equalizer.m4a.wav,equalizer
4) -z-  - -s-/-z-/P’Manow (Ben)/zealous.m4a.wav,zealous
4) -z-  - -s-/-z-/P’Manow (Ben)/zipper.m4a.wav,zipper
4) -z-  - -s-/-z-/P’Pop(เเนน)/Criticize.m4a.wav,criticize
4) -z-  - -s-/-z-/P’Pop(เเนน)/Emphasize.m4a.wav,emphasize
4) -z-  - -s-/-z-/P’Pop(เเนน)/Enzyme.m4a.wav,enzyme
4) -z-  - -s-/-z-/P’Pop(เเนน)/Equalizer.m4a.wav,equalizer
4) -z-  - -s-/-z-/P’Pop(เเนน)/Zealous.m4a.wav,zealous
4) -z-  - -s-/-z-/P’Pop(เเนน)/Zipper.m4a.wav,zipper
4) -z-  - -s-/-z-/ไอริณ (กล้วย)/Criticize.m4a.wav,criticize
4) -z-  - -s-/-z-/ไอริณ (กล้วย)/Emphasize.m4a.wav,emphasize
4) -z-  - -s-/-z-/ไอริณ (กล้วย)/Enzyme.m4a.wav,enzyme
4) -z-  - -s-/-z-/ไอริณ (กล้วย)/Equalizer.m4a.wav,equalizer
4) -z-  - -s-/-z-/ไอริณ (กล้วย)/Zealous.m4a.wav,zealous
4) -z-  - -s-/-z-/ไอริณ (กล้วย)/Zipper.m4a.wav,zipper
5) -b- - -p-/-b-/AJ.Aom(เเนน)/belonging.m4a.wav,belonging
5) -b- - -p-/-b-/AJ.Aom(เเนน)/Bilingual.m4a.wav,bilingual
5) -b- - -p-/-b-/AJ.Aom(เเนน)/Dabble.m4a.wav,dabble
5) -b- - -p-/-b-/AJ.Aom(เเนน)/Orbit.m4a.wav,orbit
5) -b- - -p-/-b-/AJ.Aom(เเนน)/Reverb.m4a.wav,reverb
5) -b- - -p-/-b-/AJ.Aom(เเนน)/Robe.m4a.wav,robe
5) -b- - -p-/-b-/AJ.Nine(Ben)/belonging.m4a.wav,belonging
5) -b- - -p-/-b-/AJ.Nine(Ben)/bilingual.m4a.wav,bilingual
5) -b- - -p-/-b-/AJ.Nine(Ben)/dabble.m4a.wav,dabble
5) -b- - -p-/-b-/AJ.Nine(Ben)/orbit.m4a.wav,orbit
5) -b- - -p-/-b-/AJ.Nine(Ben)/reverb.m4a.wav,reverb
5) -b- - -p-/-b-/AJ.Nine(Ben)/robe.m4a.wav,robe
5) -b- - -p-/-b-/AJ.Pang (โบว์)/Belonging.m4a.wav,belonging
5) -b- - -p-/-b-/AJ.Pang (โบว์)/Bilingual.m4a.wav,bilingual
5) -b- - -p-/-b-/AJ.Pang (โบว์)/Dabble.m4a.wav,dabble
5) -b- - -p-/-b-/AJ.Pang (โบว์)/Orbit.m4a.wav,orbit
5) -b- - -p-/-b-/AJ.Pang (โบว์)/Reverb.m4a.wav,reverb
5) -b- - -p-/-b-/AJ.Pang (โบว์)/Robe.m4a.wav,robe
5) -b- - -p-/-b-/AJ.Perry (kanplu)/belonging.aac.wav,belonging
5) -b- - -p-/-b-/AJ.Perry (kanplu)/bilingual.aac.wav,bilingual
5) -b- - -p-/-b-/AJ.Perry (kanplu)/dabble.aac.wav,dabble
5) -b- - -p-/-b-/AJ.Perry (kanplu)/orbit.aac.wav,orbit
5) -b- - -p-/-b-/AJ.Perry (kanplu)/reverb.aac.wav,reverb
5) -b- - -p-/-b-/AJ.Perry (kanplu)/robe.aac.wav,robe
5) -b- - -p-/-b-/AJ.Ying/belonging.mp3.wav,belonging
5) -b- - -p-/-b-/AJ.Ying/bilingual .mp3.wav,bilingual 
5) -b- - -p-/-b-/AJ.Ying/dabble.mp3.wav,dabble
5) -b- - -p-/-b-/AJ.Ying/orbit.mp3.wav,orbit
5) -b- - -p-/-b-/AJ.Ying/reverb.mp3.wav,reverb
5) -b- - -p-/-b-/AJ.Ying/robe.mp3.wav,robe
5) -b- - -p-/-b-/belonging.aac.wav,belonging
5) -b- - -p-/-b-/Daniel (เเนน)/Belonging.m4a.wav,belonging
5) -b- - -p-/-b-/Daniel (เเนน)/Bilingual.m4a.wav,bilingual
5) -b- - -p-/-b-/Daniel (เเนน)/Dabble.m4a.wav,dabble
5) -b- - -p-/-b-/Daniel (เเนน)/Orbit.m4a.wav,orbit
5) -b- - -p-/-b-/Daniel (เเนน)/Reverb.m4a.wav,reverb
5) -b- - -p-/-b-/Daniel (เเนน)/Robe.m4a.wav,robe
5) -b- - -p-/-b-/N_Aung/Belonging.m4a.wav,belonging
5) -b- - -p-/-b-/N_Aung/billingual.m4a.wav,billingual
5) -b- - -p-/-b-/N_Aung/Dabble.m4a.wav,dabble
5) -b- - -p-/-b-/N_Aung/Orbit.m4a.wav,orbit
5) -b- - -p-/-b-/N_Aung/reverb.m4a.wav,reverb
5) -b- - -p-/-b-/N_Aung/Robe.m4a.wav,robe
5) -b- - -p-/-b-/N_Guy (Ping)/Belonging.m4a.wav,belonging
5) -b- - -p-/-b-/N_Guy (Ping)/Bilingual.m4a.wav,bilingual
5) -b- - -p-/-b-/N_Guy (Ping)/Dabble.m4a.wav,dabble
5) -b- - -p-/-b-/N_Guy (Ping)/Orbit.m4a.wav,orbit
5) -b- - -p-/-b-/N_Guy (Ping)/Reverb.m4a.wav,reverb
5) -b- - -p-/-b-/N_Guy (Ping)/Robe.m4a.wav,robe
5) -b- - -p-/-b-/N_Maprang/belonging.m4a.wav,belonging
5) -b- - -p-/-b-/N_Maprang/bilingual.m4a.wav,bilingual
5) -b- - -p-/-b-/N_Maprang/dabble.m4a.wav,dabble
5) -b- - -p-/-b-/N_Maprang/orbit.m4a.wav,orbit
5) -b- - -p-/-b-/N_Maprang/reverb.m4a.wav,reverb
5) -b- - -p-/-b-/N_Maprang/robe.m4a.wav,robe
5) -b- - -p-/-b-/N_Stamp (Ping)/Belonging.m4a.wav,belonging
5) -b- - -p-/-b-/N_Stamp (Ping)/Bilingual.m4a.wav,bilingual
5) -b- - -p-/-b-/N_Stamp (Ping)/Dabble.m4a.wav,dabble
5) -b- - -p-/-b-/N_Stamp (Ping)/Orbit.m4a.wav,orbit
5) -b- - -p-/-b-/N_Stamp (Ping)/Reverb.m4a.wav,reverb
5) -b- - -p-/-b-/N_Stamp (Ping)/Robe.m4a.wav,robe
5) -b- - -p-/-b-/P_C/Khok Pho 11 2.m4a.wav,khok pho 11 2
5) -b- - -p-/-b-/P_C/Khok Pho 11 3.m4a.wav,khok pho 11 3
5) -b- - -p-/-b-/P_C/Khok Pho 11 4.m4a.wav,khok pho 11 4
5) -b- - -p-/-b-/P_C/Khok Pho 11 5.m4a.wav,khok pho 11 5
5) -b- - -p-/-b-/P_C/Khok Pho 11 6.m4a.wav,khok pho 11 6
5) -b- - -p-/-b-/P_C/Khok Pho 11.m4a.wav,khok pho 11
5) -b- - -p-/-b-/P_Meen(สมาย)/Belonging.m4a.wav,belonging
5) -b- - -p-/-b-/P_Meen(สมาย)/Bilingual.m4a.wav,bilingual
5) -b- - -p-/-b-/P_Meen(สมาย)/Dabble.m4a.wav,dabble
5) -b- - -p-/-b-/P_Meen(สมาย)/Orbit.m4a.wav,orbit
5) -b- - -p-/-b-/P_Meen(สมาย)/Reverb.m4a.wav,reverb
5) -b- - -p-/-b-/P_Meen(สมาย)/Robe.m4a.wav,robe
5) -b- - -p-/-b-/P_Numaun(smile)/belonging.mp3.wav,belonging
5) -b- - -p-/-b-/P_Numaun(smile)/bilingual.mp3.wav,bilingual
5) -b- - -p-/-b-/P_Numaun(smile)/dabble.mp3.wav,dabble
5) -b- - -p-/-b-/P_Numaun(smile)/orbit.mp3.wav,orbit
5) -b- - -p-/-b-/P_Numaun(smile)/reverb.mp3.wav,reverb
5) -b- - -p-/-b-/P_Numaun(smile)/robe.mp3.wav,robe
5) -b- - -p-/-b-/P’Manow (Ben)/belonging.m4a.wav,belonging
5) -b- - -p-/-b-/P’Manow (Ben)/bilingual.m4a.wav,bilingual
5) -b- - -p-/-b-/P’Manow (Ben)/dabble.m4a.wav,dabble
5) -b- - -p-/-b-/P’Manow (Ben)/orbit.m4a.wav,orbit
5) -b- - -p-/-b-/P’Manow (Ben)/reverb.m4a.wav,reverb
5) -b- - -p-/-b-/P’Manow (Ben)/robe.m4a.wav,robe
5) -b- - -p-/-b-/P’Pop(เเนน)/Belonging.m4a.wav,belonging
5) -b- - -p-/-b-/P’Pop(เเนน)/Bilingual.m4a.wav,bilingual
5) -b- - -p-/-b-/P’Pop(เเนน)/Dabble.m4a.wav,dabble
5) -b- - -p-/-b-/P’Pop(เเนน)/Orbits.m4a.wav,orbits
5) -b- - -p-/-b-/P’Pop(เเนน)/Reverb.m4a.wav,reverb
5) -b- - -p-/-b-/P’Pop(เเนน)/Robe.m4a.wav,robe
5) -b- - -p-/-b-/ไอริณ (กล้วย)/Belonging.m4a.wav,belonging
5) -b- - -p-/-b-/ไอริณ (กล้วย)/Bilingual.m4a.wav,bilingual
5) -b- - -p-/-b-/ไอริณ (กล้วย)/Dabble.m4a.wav,dabble
5) -b- - -p-/-b-/ไอริณ (กล้วย)/Orbit.m4a.wav,orbit
5) -b- - -p-/-b-/ไอริณ (กล้วย)/Reverb.m4a.wav,reverb
5) -b- - -p-/-b-/ไอริณ (กล้วย)/Robe.m4a.wav,robe
5) -b- - -p-/-p-/AJ.Aom(เเนน)/Appellate.m4a.wav,appellate
5) -b- - -p-/-p-/AJ.Aom(เเนน)/Correspondence.m4a.wav,correspondence
5) -b- - -p-/-p-/AJ.Aom(เเนน)/landscape.m4a.wav,landscape
5) -b- - -p-/-p-/AJ.Aom(เเนน)/Pathogens.m4a.wav,pathogens
5) -b- - -p-/-p-/AJ.Aom(เเนน)/proposal.m4a.wav,proposal
5) -b- - -p-/-p-/AJ.Aom(เเนน)/Rope.m4a.wav,rope
5) -b- - -p-/-p-/AJ.Nine (Ben)/appellate.m4a.wav,appellate
5) -b- - -p-/-p-/AJ.Nine (Ben)/correspondence.m4a.wav,correspondence
5) -b- - -p-/-p-/AJ.Nine (Ben)/landscape.m4a.wav,landscape
5) -b- - -p-/-p-/AJ.Nine (Ben)/pathogens.m4a.wav,pathogens
5) -b- - -p-/-p-/AJ.Nine (Ben)/proposal.m4a.wav,proposal
5) -b- - -p-/-p-/AJ.Nine (Ben)/robe.m4a.wav,robe
5) -b- - -p-/-p-/AJ.Pang (โบว์)/Appellate.m4a.wav,appellate
5) -b- - -p-/-p-/AJ.Pang (โบว์)/Correspondence.m4a.wav,correspondence
5) -b- - -p-/-p-/AJ.Pang (โบว์)/Landscape.m4a.wav,landscape
5) -b- - -p-/-p-/AJ.Pang (โบว์)/Pathogens.m4a.wav,pathogens
5) -b- - -p-/-p-/AJ.Pang (โบว์)/Proposal.m4a.wav,proposal
5) -b- - -p-/-p-/AJ.Pang (โบว์)/Rope.m4a.wav,rope
5) -b- - -p-/-p-/AJ.Perry (kanplu)/appellate.aac.wav,appellate
5) -b- - -p-/-p-/AJ.Perry (kanplu)/correspondence.aac.wav,correspondence
5) -b- - -p-/-p-/AJ.Perry (kanplu)/landscape.aac.wav,landscape
5) -b- - -p-/-p-/AJ.Perry (kanplu)/pathogens.aac.wav,pathogens
5) -b- - -p-/-p-/AJ.Perry (kanplu)/proposal.aac.wav,proposal
5) -b- - -p-/-p-/AJ.Perry (kanplu)/rope.aac.wav,rope
5) -b- - -p-/-p-/AJ.Ying/appellate.mp3.wav,appellate
5) -b- - -p-/-p-/AJ.Ying/correspondence.mp3.wav,correspondence
5) -b- - -p-/-p-/AJ.Ying/landscape.mp3.wav,landscape
5) -b- - -p-/-p-/AJ.Ying/pathogens.mp3.wav,pathogens
5) -b- - -p-/-p-/AJ.Ying/proposal.mp3.wav,proposal
5) -b- - -p-/-p-/AJ.Ying/rope.mp3.wav,rope
5) -b- - -p-/-p-/Daniel (เเนน)/Appellate.m4a.wav,appellate
5) -b- - -p-/-p-/Daniel (เเนน)/Corespondent.m4a.wav,corespondent
5) -b- - -p-/-p-/Daniel (เเนน)/Landscape.m4a.wav,landscape
5) -b- - -p-/-p-/Daniel (เเนน)/Pathogens.m4a.wav,pathogens
5) -b- - -p-/-p-/Daniel (เเนน)/Proposal.m4a.wav,proposal
5) -b- - -p-/-p-/Daniel (เเนน)/Rope.m4a.wav,rope
5) -b- - -p-/-p-/N_Aung/Appellate.m4a.wav,appellate
5) -b- - -p-/-p-/N_Aung/Correspondence.m4a.wav,correspondence
5) -b- - -p-/-p-/N_Aung/Landscape.m4a.wav,landscape
5) -b- - -p-/-p-/N_Aung/Pathogens.m4a.wav,pathogens
5) -b- - -p-/-p-/N_Aung/proposal.m4a.wav,proposal
5) -b- - -p-/-p-/N_Aung/Rope.m4a.wav,rope
5) -b- - -p-/-p-/N_Guy (Ping)/Appellate.m4a.wav,appellate
5) -b- - -p-/-p-/N_Guy (Ping)/Correspondence.m4a.wav,correspondence
